id,title,handle,vendor,status,desc_len,has_tags,distributor_snippet
8809560735982,Cámara Termográfica Detección de Gas FLIR G306 24° - OGI,camara-deteccion-gas-flir-g306-24-ogi,Flir,active,1798,1,0
8597796061422,Cámara Termográfica Detección de Gas FLIR G343 - OGI SF6,camara-deteccion-sf6-flir-g343-ogi-refrigerantes,Flir,active,2050,1,0
8597813395694,Cámara Termográfica Detección de Gas FLIR G620a - OGI Refrigerada,camara-deteccion-gas-flir-g620a-ogi-refrigerada,Flir,active,2008,0,0
4386286338090,Cámara Termográfica Detección de Gas FLIR GF300 - OGI Hidrocarburos VOC,camara-deteccion-hidrocarburos-flir-gf300-ogi-voc,Flir,active,2017,0,0
4386291318826,Cámara Termográfica Detección de Gas FLIR GF304 14.5° - OGI Portátil,camara-deteccion-gas-flir-gf304-14-5-ogi-portatil,Flir,active,1943,1,0
4386293219370,Cámara Termográfica Detección de Gas FLIR GF306 24° - OGI Metano,camara-deteccion-gas-flir-gf306-24-ogi-metano,Flir,active,1856,0,0
4386400993322,Cámara Termográfica Detección de Gas FLIR GF309 - OGI Sulfuros,camara-deteccion-sulfuros-flir-gf309-ogi-h2s,Flir,active,2144,0,0
4386298134570,Cámara Termográfica Detección de Gas FLIR GF320 - OGI Hidrocarburos,camara-deteccion-hidrocarburos-flir-gf320-ogi-metano,Flir,active,2016,1,0
4386300493866,Cámara Termográfica Detección de Gas FLIR GF343 - OGI SF6 Refrigerantes,camara-deteccion-sf6-gases-refrigerantes-flir-gf343-ogi,Flir,active,2052,0,0
4386304294954,Cámara Termográfica Detección de Gas FLIR GF346 - OGI Amoníaco,camara-deteccion-amoniaco-flir-gf346-ogi-nh3,Flir,active,2096,1,0
4386321367082,Cámara Termográfica Detección de Gas FLIR GF620 - OGI Alta Sensibilidad,camara-deteccion-gas-flir-gf620-ogi-alta-sensibilidad,Flir,active,2170,1,0
4386334343210,Cámara Termográfica Detección de Gas FLIR GF77 - OGI Metano Portátil,camara-deteccion-metano-flir-gf77-ogi-portatil,Flir,active,1795,1,0
4386335588394,Cámara Termográfica Detección de Gas FLIR GF77a - OGI Metano No Refrigerada,camara-deteccion-metano-flir-gf77a-ogi-no-refrigerada,Flir,active,1877,1,0
4386282373162,Cámara Termográfica Detección de Gas FLIR GFX320 - OGI Extendida,camara-deteccion-gas-flir-gfx320-ogi-extendida,Flir,active,1990,1,0
8809575940334,Cámara Termográfica FLIR E76 Dual FOV 14° + 24°,flir-e76-dual-fov-14-24,Flir,active,7090,1,0
8923416461550,Cámara Termográfica FLIR T1020 HD 1024×768 con Lentes 28° y 12° - UltraMax™ y OSX™,flir-t1020-28-12,Flir,active,1548,1,0
8923417247982,Cámara Termográfica FLIR T1020 HD 1024×768 con Lentes 28° y 45° - UltraMax™ y OSX™,flir-t1020-28-12-copia,Flir,active,1518,1,0
8891041349870,Cameleon Software Tactic,cameleon-software-tactic,Flir,active,0,0,0
4386563293226,CAMELEON V5 ENTERPRISE,cameleon-v5-enterprise,Flir,active,1741,0,0
9150992351470,Cameleon™ Tactical Perimeter Intrusion Detection Software,cameleon™-tactical-perimeter-intrusion-detection-software,FLIR,active,281,1,0
8837511282926,Capacitación en Terreno,capacitacion-en-terreno,Flir,active,0,0,0
8903204962542,Carcasa Axx IP69k (T912302) AXX INOX (41.9MM),carcasa-axx-ip69k-t912302-axx-inox,Flir,active,0,0,0
8903216038126,Carcasa Axxx IP67 T912366  (39mm),carcasa-axxx-ip67-t912366-39mm,Flir,active,0,0,0
8853363196142,Carcasa de protección con cortina de viento,carcasa-de-proteccion-con-cortina-de-viento,Flir,active,3196,0,0
8903210991854,Carcasa protectora IP67 para Axx,carcasa-axx-ip69k-t912301-inox-43mm,Flir,active,0,0,0
4506358579242,Cargador 12V para Automóvil FLIR,car-charger-t198532,Flir,active,98,1,0
4506440302634,Cargador de Batería T6xx y T1020,battery-charger-t198126,Flir,active,235,1,0
8815617179886,"Cargador de Baterías Dual FLIR T199610 - Compatible Series T5xx, T8xx y GF77 (Requiere Fuente T911633ACC)",cargador-de-baterias-flir-para-series-t5xx-t8xx-y-gf77-requiere-fuente-t911633acc-se-vende-por-separado,Flir,active,2217,1,0
8727265116398,Cargador Dual FLIR T197650 para Baterías Cámaras Termográficas T4xx,2-bay-battery-charger-incl-power-supply-with-multi-plugs-t197650,Flir,active,1564,1,0
8815620456686,"Cargador FLIR T198125 Doble Bahía con Fuente para Serie K (K33, K45, K53, K55, K65)",cargador-flir-con-fuente-incluida-compatible-con-camaras-para-combate-contra-incendios-serie-k-k33-k45-k53-k55-y-k65,Flir,active,2398,1,0
8815626256622,Cargador para camara P6X,cargador-para-camara-p6x,Flir,active,0,0,0
4597200879658,Cargador para camión (T198322ACC),cargador-para-camion-t198322acc,Flir,active,636,1,0
4597197799466,Cargador para Camión FLIR T199414ACC 12V USB Micro-B para FLIR K2,t199414acc-cargador-para-camion-para-flir-k2,Flir,active,2165,1,0
8932943495406,CB PIRI,cb-piri,Flir,active,0,0,0
4506489225258,"Cigarette Lighter Adapter Kit, 12 VDC (T198509)",cigarette-lighter-adapter-kit-12-vdc-t198509,Flir,active,216,1,0
4507091075114,"CLOSE-UP IR LENS, 1.5X (25 ΜM) WITH CASE (T198066)",close-up-ir-lens-1-5x-25-μm-with-case-t198066,Flir,active,125,1,0
4507096416298,"Close-up IR lens, 2.9x (50 µm) with case (T198059)",close-up-ir-lens-2-9x-50-µm-with-case-t198059,Flir,active,125,1,0
4507097301034,"CLOSE-UP IR LENS, 5.8X (100 ΜM) WITH CASE (T198060)",close-up-ir-lens-5-8x-100-μm-with-case-t198060,Flir,active,125,1,0
8942502183150,Conferencia de transmisión de imágenes (FLIR A400/A700),conferencia-de-transmision-de-imagenes-flir-a400-a700,Flir,active,0,0,0
8941363757294,Configuración avanzada del sensor inteligente (solo válido junto con T300389),configuracion-avanzada-del-sensor-inteligente-solo-valido-junto-con-t300312-o-t300389,Flir,active,0,0,0
8941362348270,Configuración del sensor inteligente (FLIR A400/A700),configuracion-del-sensor-inteligente-flir-a400-a700,Flir,active,0,0,0
9094634406126,Configuración del sensor inteligente (FLIR A50/A70),transmision-de-imagenes-de-flir-a50-a70-copia,Flir,active,0,0,0
4510572249130,Connector cap kit (T300202),connector-cap-kit-t300202-_-flir-systems-jpg,Flir,active,521,1,0
8891080212718,Convertidor y fuente de alimentación para el RANGER R20SS,convertidor-y-fuente-de-alimentacion-para-el-ranger-r20ss,Flir,active,172,0,0
8630949871854,CoroCAM 6HD Cámara Detección Corona UV - Alta Tensión Profesional,corocam-6d-copy,UVIRCO,active,3972,0,0
4387379576874,COROCAM 7,corocam-7,Flir,archived,4319,0,0
4387380658218,COROCAM 8 UAV,corocam-8-uav,Flir,archived,4182,0,0
4387380133930,CoroCAM 8HD Sistema UV + Térmico FLIR 640×512 + Cámara HD - Detección Corona,corocam-8,UVIRCO,active,4394,0,0
8630952165614,CoroCAM 8HD Sistema UV + Térmico FLIR 640×512 + Cámara HD - Detección Corona,corocam-8-copy,UVIRCO,archived,4382,0,0
8630983885038,CoroCAM 8HD UAV - Cámara Termográfica Detección Efecto Corona para Drones Industriales,corocam-8-uav-copy,UVIRCO,active,1477,0,0
8923377697006,CoroCAM ® UVS-AP,corocam-®-uvs-copia,UVIRCO,active,117,0,0
8923402436846,CoroCAM ® UVS-IS,corocam-®-uvs-t-copia,UVIRCO,active,117,0,0
8923384807662,CoroCAM ® UVS-T,corocam-®-uvs-ap-copia,UVIRCO,active,117,0,0
8630956622062,CoroCAM® 7HD – Cámara  Profesional para Detección de Corona y Descargas Parciales en Alta Tensión,corocam-7hd,UVIRCO,active,3055,0,0
8935769637102,"Curso de Termografía Nivel 1 con certificación · Certificación Internacional FLIR<span class=""hidden-price-in-title"">. Precio: 2300 USD</span>",curso-de-termografia-nivel-1,Flir,active,1741,1,1
8990672257262,"Curso de Termografía Nivel 2 ITC · Certificación Internacional FLIR<span class=""hidden-price-in-title"">. Precio: 2350 USD</span>",curso-de-termografia-nivel-2,Flir,active,1609,1,0
8815606366446,Detector de Voltaje sin Contacto FLIR VP52-2 CAT IV con Linterna LED,flir-vp52-2-detector-de-voltaje-sin-contacto-con-linterna-triple-alarma-y-punta-de-inspeccion,Flir,active,2035,1,0
8835315728622,"E-Series, A20 - Ajuste de Calibración",e-series-a20-ajuste-de-calibracion,Colvin,active,65,1,0
8835315794158,"E-Series, A20 - Ajuste de Calibración Filtro Alta T°",e-series-a20-ajuste-de-calibracion-filtro-alta-talta-t,Colvin,active,80,1,0
8835315761390,"E-Series, A20 - Ajuste de Calibración Lente Extra",e-series-a20-ajuste-de-calibracion-lente-extra,Colvin,active,77,1,0
8835315892462,"E-Series, A20 - Hora de mantención Limpieza interior exterior",e-series-a20-hora-de-mantencion-limpieza-interior-exterior,Colvin,active,89,1,0
8835315859694,"E-Series, A20 - Revisión Equipo",e-series-a20-revision-equipo,Colvin,active,59,1,0
8835314614510,"E30, E40 - Ajuste de Calibración",e30-e40-ajuste-de-calibracion,Colvin,active,60,1,0
8835314647278,"E30, E40 - Ajuste de Calibración Lente Extra",e30-e40-ajuste-de-calibracion-lente-extra,Colvin,active,72,1,0
8835314712814,"E30, E40 - Hora de mantención Limpieza interior exterior",e30-e40-hora-de-mantencion-limpieza-interior-exterior,Colvin,active,84,1,0
8835314680046,"E30, E40 - Revisión Equipo",e30-e40-revision-equipo,Colvin,active,54,1,0
8835315138798,"E4, E5 - Ajuste de Calibración",e4-e5-ajuste-de-calibracion,Colvin,active,58,1,0
8835315237102,"E4, E5 - Hora de mantención Limpieza interior exterior",e4-e5-hora-de-mantencion-limpieza-interior-exterior,Colvin,active,82,1,0
8835315171566,"E4, E5 - Revisión Equipo",e4-e5-revision-equipo,Colvin,active,52,1,0
8835314450670,"E50, E60 - Ajuste de Calibración",e50-e60-ajuste-de-calibracion,Colvin,active,60,1,0
8835314516206,"E50, E60 - Ajuste de Calibración Filtro Alta T°",e50-e60-ajuste-de-calibracion-filtro-alta-talta-t,Colvin,active,75,1,0
8835314483438,"E50, E60 - Ajuste de Calibración Lente Extra",e50-e60-ajuste-de-calibracion-lente-extra,Colvin,active,72,1,0
8835314581742,"E50, E60 - Hora de mantención Limpieza interior exterior",e50-e60-hora-de-mantencion-limpieza-interior-exterior,Colvin,active,84,1,0
8835314548974,"E50, E60 - Revisión Equipo",e50-e60-revision-equipo,Colvin,active,54,1,0
8835315040494,"E6, E8 - Ajuste de Calibración",e6-e8-ajuste-de-calibracion,Colvin,active,58,1,0
8835315106030,"E6, E8 - Hora de mantención Limpieza interior exterior",e6-e8-hora-de-mantencion-limpieza-interior-exterior,Colvin,active,82,1,0
8835315073262,"E6, E8 - Revisión Equipo",e6-e8-revision-equipo,Colvin,active,52,1,0
8835314745582,"E75, 85, 95 - Ajuste de Calibración",e75-85-95-ajuste-de-calibracion,Colvin,active,63,1,0
8835314811118,"E75, 85, 95 - Ajuste de Calibración Filtro Alta T°",e75-85-95-ajuste-de-calibracion-filtro-alta-talta-t,Colvin,active,78,1,0
